MetricID,ShipmentID,CustomerSatisfaction
1,1,4
2,1,3
3,1,5
4,1,2
5,2,4
6,2,1
7,3,4
8,3,3
9,3,3
10,3,5
11,4,1
12,4,4
13,5,1
14,6,1
15,7,4
16,7,2
17,7,2
18,8,5
19,8,5
20,9,3
21,9,1
22,9,5
23,10,1
24,10,4
25,10,5
26,11,1
27,11,1
28,11,4
29,12,1
30,12,3
31,13,3
32,13,2
33,14,3
34,15,3
35,15,2
36,15,1
37,15,2
38,15,5
39,16,1
40,16,4
41,16,5
42,16,4
43,16,5
44,17,2
45,17,1
46,17,4
47,17,2
48,18,5
49,18,5
50,18,1
51,19,3
52,19,4
53,19,3
54,19,5
55,20,5
56,20,3
57,20,1
58,21,3
59,21,3
60,22,4
61,22,5
62,22,1
63,22,1
64,23,3
65,23,1
66,23,2
67,23,2
68,24,2
69,25,5
70,25,5
71,25,5
72,25,5
73,25,5
74,26,4
75,26,3
76,27,5
77,27,2
78,27,2
79,27,1
80,28,5
81,29,1
82,29,4
83,29,1
84,30,5
85,30,5
86,30,3
87,30,2
88,31,3
89,31,5
90,31,4
91,31,1
92,31,4
93,32,2
94,32,2
95,32,1
96,32,4
97,32,4
98,33,4
99,34,4
100,34,1
101,35,4
102,36,5
103,36,4
104,36,4
105,37,2
106,37,3
107,37,3
108,37,4
109,37,4
110,38,2
111,38,1
112,38,5
113,38,1
114,39,1
115,39,5
116,39,5
117,39,3
118,39,5
119,40,5
120,40,4
121,40,5
122,40,3
123,40,4
124,41,1
125,42,5
126,42,3
127,42,4
128,43,3
129,44,1
130,44,4
131,44,1
132,44,1
133,44,4
134,45,4
135,45,1
136,45,1
137,46,2
138,46,2
139,46,4
140,47,2
141,47,5
142,48,1
143,49,5
144,49,2
145,49,5
146,49,4
147,49,2
148,50,1
149,50,3
150,50,3
151,50,1
152,50,1
153,51,5
154,51,1
155,51,2
156,51,1
157,52,5
158,52,3
159,52,3
160,52,1
161,53,1
162,53,4
163,54,5
164,54,4
165,54,3
166,54,4
167,54,2
168,55,2
169,56,1
170,56,3
171,56,4
172,56,3
173,57,4
174,57,3
175,57,2
176,58,5
177,59,5
178,59,2
179,59,4
180,59,2
181,59,3
182,60,5
183,60,2
184,60,4
185,61,5
186,61,3
187,62,4
188,62,2
189,62,2
190,63,5
191,63,4
192,63,1
193,63,5
194,64,5
195,64,4
196,65,2
197,65,3
198,65,4
199,66,3
200,67,4
201,67,2
202,68,4
203,69,4
204,69,4
205,69,3
206,70,3
207,70,1
208,71,1
209,71,1
210,71,1
211,71,4
212,71,5
213,72,4
214,72,3
215,73,3
216,73,5
217,73,4
218,73,3
219,73,1
220,74,3
221,74,2
222,74,1
223,74,2
224,75,2
225,76,3
226,77,2
227,78,2
228,79,1
229,79,2
230,79,5
231,80,3
232,81,3
233,82,2
234,82,4
235,82,2
236,83,2
237,83,1
238,83,1
239,84,5
240,84,5
241,85,4
242,85,1
243,85,2
244,86,5
245,86,1
246,87,5
247,87,4
248,88,1
249,88,5
250,88,4
251,88,2
252,88,2
253,89,5
254,90,5
255,90,4
256,91,1
257,91,3
258,91,2
259,91,1
260,92,5
261,92,1
262,92,1
263,92,5
264,93,1
265,93,5
266,93,2
267,93,4
268,94,3
269,94,1
270,95,4
271,95,3
272,95,4
273,95,2
274,96,5
275,96,2
276,96,2
277,96,3
278,97,5
279,97,3
280,97,5
281,97,2
282,97,4
283,98,5
284,98,5
285,98,1
286,99,3
287,99,2
288,100,1
289,100,1
290,100,2
291,100,3
292,101,4
293,101,5
294,101,2
295,102,4
296,102,3
297,102,5
298,103,3
299,103,3
300,103,3
301,104,3
302,104,2
303,105,1
304,106,4
305,106,2
306,106,3
307,107,5
308,107,3
309,107,3
310,107,1
311,108,5
312,108,2
313,108,4
314,108,1
315,108,2
316,109,3
317,109,5
318,110,5
319,110,4
320,110,5
321,111,5
322,112,1
323,112,1
324,112,2
325,112,2
326,112,2
327,113,4
328,113,5
329,113,5
330,113,3
331,113,3
332,114,4
333,114,1
334,114,4
335,114,1
336,115,3
337,115,2
338,115,1
339,116,5
340,117,3
341,117,5
342,117,3
343,117,3
344,117,1
345,118,4
346,118,3
347,118,1
348,119,2
349,119,2
350,120,1
351,120,1
352,121,2
353,121,4
354,121,5
355,121,2
356,122,1
357,123,1
358,124,4
359,125,4
360,126,5
361,127,5
362,128,1
363,129,3
364,129,5
365,129,5
366,129,3
367,129,3
368,130,5
369,130,1
370,130,1
371,130,3
372,130,2
373,131,2
374,131,4
