ShipmentDetailID,ShipmentID,ProductID,ItemWeight,Quantity,TotalItemPrice,AdditionalCharges,TotalPrice
1,1,39,34,4,58448,387.68,58835.68
2,1,16,21,10,3230,496.13,3726.13
3,1,4,23,5,355685,200.07,355885.07
4,1,24,29,8,756576,108.28,756684.28
5,2,33,37,8,28064,249.54,28313.54
6,2,40,18,5,4280,107.17,4387.17
7,3,39,38,10,146120,209.32,146329.32
8,3,30,50,10,148410,468.56,148878.56
9,3,5,9,9,1186749,212.49,1186961.49
10,3,18,3,8,3696,244.59,3940.59
11,4,24,27,9,851148,134.51,851282.51
12,4,16,11,8,2584,127.74,2711.74
13,5,38,7,1,9795,388.6,10183.6
14,6,3,5,2,150286,450.93,150736.93
15,7,42,3,1,1416,209.02,1625.02
16,7,32,45,9,13626,438.54,14064.54
17,7,39,35,8,116896,150.58,117046.58
18,8,12,42,8,32560,298.18,32858.18
19,8,22,45,4,429192,262.82,429454.82
20,9,30,12,6,89046,340.11,89386.11
21,9,23,5,6,1048620,75.92,1048695.92
22,9,15,47,7,1337,439.12,1776.12
23,10,19,37,8,149152,125.29,149277.29
24,10,29,46,1,26604,489.32,27093.32
25,10,35,49,1,1794,230.47,2024.47
26,11,22,9,5,536490,138.49,536628.49
27,11,16,15,6,1938,460.57,2398.57
28,11,10,28,9,364941,417.2,365358.2
29,12,1,6,8,72792,496.4,73288.4
30,12,12,35,3,12210,349.63,12559.63
31,13,24,6,7,662004,277.81,662281.81
32,13,42,30,2,2832,443.98,3275.98
33,14,40,21,5,4280,331.33,4611.33
34,15,24,50,1,94572,297.63,94869.63
35,15,23,27,2,349540,317.0,349857.0
36,15,45,5,2,3578,396.21,3974.21
37,15,17,45,8,2944,236.51,3180.51
38,15,20,21,7,342629,236.18,342865.18
39,16,1,8,9,81891,476.06,82367.06
40,16,2,38,7,155232,178.2,155410.2
41,16,1,14,3,27297,197.27,27494.27
42,16,10,10,7,283843,94.84,283937.84
43,16,25,48,5,6595,404.91,6999.91
44,17,16,47,1,323,394.04,717.04
45,17,26,1,9,7398,312.46,7710.46
46,17,23,40,9,1572930,294.81,1573224.81
47,17,40,12,4,3424,280.24,3704.24
48,18,21,20,10,33450,458.66,33908.66
49,18,7,24,7,29267,358.24,29625.24
50,18,17,22,2,736,212.99,948.99
51,19,37,50,8,79216,470.91,79686.91
52,19,20,48,1,48947,392.64,49339.64
53,19,9,30,4,17748,207.71,17955.71
54,19,26,16,3,2466,478.5,2944.5
55,20,30,3,7,103887,266.85,104153.85
56,20,29,41,3,79812,285.7,80097.7
57,20,25,26,8,10552,463.85,11015.85
58,21,24,18,3,283716,299.12,284015.12
59,21,40,21,3,2568,480.57,3048.57
60,22,37,25,6,59412,221.14,59633.14
61,22,32,22,1,1514,430.22,1944.22
62,22,24,6,9,851148,199.08,851347.08
63,22,17,7,2,736,91.6,827.6
64,23,16,4,10,3230,482.19,3712.19
65,23,24,23,8,756576,196.95,756772.95
66,23,1,41,5,45495,416.27,45911.27
67,23,32,21,2,3028,273.65,3301.65
68,24,10,25,10,405490,416.28,405906.28
69,25,5,31,6,791166,120.3,791286.3
70,25,19,26,9,167796,86.06,167882.06
71,25,13,19,10,10710,125.36,10835.36
72,25,18,31,9,4158,329.07,4487.07
73,25,41,11,5,21255,422.06,21677.06
74,26,24,49,10,945720,448.75,946168.75
75,26,7,44,2,8362,125.6,8487.6
76,27,16,36,6,1938,371.72,2309.72
77,27,20,29,8,391576,326.59,391902.59
78,27,26,27,6,4932,316.49,5248.49
79,27,42,12,4,5664,386.68,6050.68
80,28,7,50,8,33448,279.59,33727.59
81,29,17,18,2,736,290.39,1026.39
82,29,15,25,3,573,304.26,877.26
83,29,1,47,2,18198,162.4,18360.4
84,30,13,9,5,5355,172.05,5527.05
85,30,24,32,8,756576,56.52,756632.52
86,30,14,46,5,17560,140.74,17700.74
87,30,6,27,2,132040,191.58,132231.58
88,31,14,34,3,10536,392.6,10928.6
89,31,17,9,3,1104,314.85,1418.85
90,31,20,45,3,146841,333.83,147174.83
91,31,28,27,6,467526,244.58,467770.58
92,31,1,9,8,72792,342.21,73134.21
93,32,1,5,9,81891,469.19,82360.19
94,32,28,17,9,701289,442.3,701731.3
95,32,18,42,7,3234,435.84,3669.84
96,32,28,4,1,77921,111.62,78032.62
97,32,37,7,2,19804,92.81,19896.81
98,33,31,6,5,25650,373.68,26023.68
99,34,12,38,3,12210,243.91,12453.91
100,34,32,47,4,6056,397.67,6453.67
101,35,23,43,1,174770,295.87,175065.87
102,36,20,14,8,391576,133.52,391709.52
103,36,30,49,2,29682,399.95,30081.95
104,36,45,30,8,14312,392.28,14704.28
105,37,4,5,4,284548,388.02,284936.02
106,37,5,18,7,923027,381.24,923408.24
107,37,34,16,8,20600,247.45,20847.45
108,37,7,4,6,25086,187.11,25273.11
109,37,41,24,7,29757,258.94,30015.94
110,38,1,16,5,45495,99.83,45594.83
111,38,18,20,8,3696,418.62,4114.62
112,38,22,22,4,429192,111.47,429303.47
113,38,9,49,7,31059,394.61,31453.61
114,39,31,12,1,5130,459.77,5589.77
115,39,40,11,5,4280,96.52,4376.52
116,39,10,47,5,202745,354.69,203099.69
117,39,29,24,9,239436,392.73,239828.73
118,39,33,46,9,31572,101.74,31673.74
119,40,18,42,3,1386,477.27,1863.27
120,40,19,5,3,55932,327.95,56259.95
121,40,20,26,3,146841,58.25,146899.25
122,40,35,50,10,17940,449.73,18389.73
123,40,11,3,2,55258,258.4,55516.4
124,41,3,12,8,601144,221.25,601365.25
125,42,37,11,4,39608,227.46,39835.46
126,42,26,36,5,4110,347.31,4457.31
127,42,40,12,9,7704,354.55,8058.55
128,43,12,35,3,12210,321.04,12531.04
129,44,4,13,9,640233,295.2,640528.2
130,44,39,19,5,73060,498.27,73558.27
131,44,8,21,8,20008,358.94,20366.94
132,44,17,34,7,2576,440.89,3016.89
133,44,7,32,5,20905,217.59,21122.59
134,45,20,32,1,48947,145.37,49092.37
135,45,5,43,5,659305,269.97,659574.97
136,45,6,24,5,330100,380.54,330480.54
137,46,19,37,3,55932,183.17,56115.17
138,46,19,12,6,111864,69.88,111933.88
139,46,31,49,10,51300,478.63,51778.63
140,47,6,29,3,198060,495.22,198555.22
141,47,22,10,5,536490,341.02,536831.02
142,48,30,4,6,89046,57.93,89103.93
143,49,19,14,4,74576,65.81,74641.81
144,49,45,26,10,17890,92.08,17982.08
145,49,9,25,1,4437,381.26,4818.26
146,49,38,1,8,78360,318.72,78678.72
147,49,28,9,8,623368,274.36,623642.36
148,50,35,41,1,1794,115.82,1909.82
149,50,35,6,10,17940,100.74,18040.74
150,50,16,43,1,323,195.51,518.51
151,50,41,36,7,29757,294.07,30051.07
152,50,6,21,5,330100,280.36,330380.36
153,51,6,35,8,528160,151.3,528311.3
154,51,9,16,1,4437,220.46,4657.46
155,51,37,46,10,99020,173.07,99193.07
156,51,41,42,4,17004,101.48,17105.48
157,52,29,20,4,106416,222.24,106638.24
158,52,42,38,1,1416,177.73,1593.73
159,52,41,29,9,38259,130.8,38389.8
160,52,21,39,10,33450,298.43,33748.43
161,53,33,31,7,24556,230.53,24786.53
162,53,27,37,1,368,277.71,645.71
163,54,45,10,5,8945,358.6,9303.6
164,54,1,11,4,36396,202.67,36598.67
165,54,12,44,5,20350,158.59,20508.59
166,54,9,22,8,35496,196.15,35692.15
167,54,23,19,6,1048620,285.94,1048905.94
168,55,44,18,10,14010,303.53,14313.53
169,56,20,19,2,97894,164.76,98058.76
170,56,17,27,8,2944,68.86,3012.86
171,56,21,15,9,30105,391.93,30496.93
172,56,17,47,7,2576,278.1,2854.1
173,57,38,27,1,9795,332.77,10127.77
174,57,10,3,9,364941,486.6,365427.6
