ShipmentID,ProviderID,CustomerID,OriginLocationID,DestinationLocationID,ShipmentStatus,DeliveryStatus,ShipmentDate,DeliveryDate
1,3,1699,14,11,Pending,Returned,2023-01-08,2023-01-15
2,1,3635,11,15,Pending,Delayed,2022-10-02,2022-10-21
3,1,672,1,10,In-Transit,Delayed,2023-03-28,2023-04-06
4,5,3756,3,7,Pending,Returned,2022-04-23,2022-05-08
5,3,3153,8,5,Pending,Canceled,2023-01-20,2023-01-28
6,3,3048,6,15,In-Transit,Delayed,2022-08-22,2022-08-31
7,5,1331,6,11,Delivered,Completed,2023-03-10,2023-03-23
8,2,2318,15,9,Pending,Canceled,2022-05-07,2022-05-26
9,5,441,2,13,Pending,Returned,2023-05-16,2023-05-23
10,2,823,15,14,Delivered,Completed,2023-11-01,2023-11-23
11,5,4695,5,2,Delivered,Completed,2022-06-07,2022-06-29
12,3,424,13,7,In-Transit,Delayed,2022-04-25,2022-05-03
13,3,2632,2,11,Delivered,Completed,2024-12-04,2024-12-18
14,2,1450,4,5,In-Transit,Delayed,2024-01-18,2024-01-28
15,3,1684,9,6,Pending,Returned,2022-06-29,2022-07-15
16,2,1732,6,15,Delivered,Completed,2022-10-22,2022-10-26
17,3,2468,11,3,Pending,Canceled,2024-12-20,2025-01-05
18,3,2772,5,9,Delivered,Completed,2023-07-24,2023-08-08
19,5,4451,10,14,Delivered,Completed,2023-09-13,2023-10-01
20,5,3683,3,10,Delivered,Completed,2022-01-18,2022-01-25
21,3,4439,15,7,In-Transit,Delayed,2023-10-12,2023-10-24
22,3,911,5,15,Pending,Returned,2023-04-13,2023-05-04
23,1,1255,7,2,Delivered,Completed,2022-07-17,2022-07-24
24,1,2508,6,13,In-Transit,Delayed,2023-08-24,2023-09-06
25,3,4392,7,5,In-Transit,Returned,2023-01-19,2023-02-03
26,2,3759,8,9,Delivered,Completed,2022-04-15,2022-04-26
27,3,1161,1,14,Delivered,Completed,2024-05-29,2024-06-07
28,3,767,5,7,Delivered,Completed,2022-03-31,2022-04-19
29,5,3607,5,9,Delivered,Completed,2022-09-28,2022-10-07
30,4,2364,11,12,Delivered,Completed,2022-05-26,2022-06-03
31,3,3354,5,8,Delivered,Completed,2022-11-18,2022-11-23
32,1,854,5,1,Pending,Returned,2023-04-16,2023-05-02
33,4,3712,9,11,In-Transit,Canceled,2023-11-15,2023-11-29
34,5,2693,6,2,Delivered,Completed,2022-06-06,2022-06-12
35,1,1059,14,2,Delivered,Completed,2023-01-23,2023-02-13
36,4,4281,11,3,Delivered,Completed,2024-08-12,2024-09-01
37,2,4631,12,15,Pending,Delayed,2022-11-07,2022-11-14
38,2,294,10,9,Pending,Delayed,2023-04-29,2023-05-10
39,2,1803,13,5,In-Transit,Delayed,2024-10-20,2024-10-31
40,3,2328,10,7,In-Transit,Canceled,2024-06-08,2024-06-17
41,4,1605,15,8,Delivered,Completed,2022-04-09,2022-04-14
42,3,2657,1,5,Delivered,Completed,2022-04-30,2022-05-06
43,4,525,6,9,Pending,Delayed,2022-02-22,2022-03-01
44,2,3730,12,6,In-Transit,Canceled,2024-02-05,2024-02-24
45,5,1746,6,7,In-Transit,Delayed,2022-10-27,2022-11-11
46,4,3942,12,11,In-Transit,Canceled,2024-05-05,2024-05-24
47,4,3381,12,6,Delivered,Completed,2024-08-01,2024-08-12
48,4,297,9,14,In-Transit,Canceled,2022-01-02,2022-01-12
49,5,1434,3,1,Pending,Delayed,2024-03-15,2024-04-03
50,1,3583,8,4,Pending,Canceled,2023-11-26,2023-12-11
51,3,4323,3,9,In-Transit,Canceled,2024-09-20,2024-10-07
