WeatherTrafficID,LocationID,WeatherCondition,TrafficCondition,RecordedDateTime
1,6,Foggy,Heavy,2022-08-23 00:37:00
2,7,Clear,Moderate,2024-02-02 10:20:00
3,4,Rainy,Heavy,2023-05-18 14:43:00
4,8,Rainy,Heavy,2022-11-13 00:27:00
5,13,Snowy,Moderate,2022-06-27 14:49:00
6,7,Clear,Light,2024-10-05 10:37:00
7,10,Snowy,Moderate,2022-09-12 11:46:00
8,8,Foggy,Heavy,2022-10-24 08:47:00
9,9,Snowy,Moderate,2023-12-15 21:43:00
10,15,Clear,Light,2024-10-26 01:59:00
11,15,Clear,Heavy,2023-02-03 00:31:00
12,2,Rainy,Light,2022-04-23 09:58:00
13,7,Rainy,Heavy,2022-06-20 13:45:00
14,14,Rainy,Heavy,2023-10-28 23:27:00
15,4,Windy,Moderate,2023-04-30 23:23:00
16,10,Clear,Heavy,2024-06-17 00:32:00
17,9,Snowy,Heavy,2023-11-18 06:35:00
18,8,Foggy,Moderate,2023-09-04 13:33:00
19,14,Clear,Heavy,2023-10-08 08:56:00
20,5,Foggy,Heavy,2022-04-27 13:30:00
21,15,Windy,Light,2024-07-27 23:19:00
22,13,Snowy,Light,2022-11-12 12:45:00
23,6,Clear,Light,2023-08-03 20:42:00
24,11,Clear,Heavy,2022-04-21 21:35:00
25,14,Foggy,Light,2023-06-19 18:56:00
26,14,Rainy,Heavy,2022-09-28 08:32:00
27,5,Foggy,Heavy,2022-01-11 00:00:00
28,5,Rainy,Moderate,2023-10-04 18:33:00
29,9,Foggy,Heavy,2022-08-23 05:23:00
30,7,Snowy,Light,2021-12-29 16:32:00
31,2,Snowy,Moderate,2022-01-26 02:55:00
32,11,Clear,Moderate,2024-09-14 18:26:00
33,5,Clear,Moderate,2024-08-16 15:20:00
34,2,Snowy,Light,2023-02-07 13:47:00
35,9,Rainy,Moderate,2023-05-07 15:13:00
36,2,Rainy,Light,2024-06-13 12:53:00
37,14,Windy,Light,2024-12-05 20:40:00
38,2,Windy,Moderate,2022-01-14 04:13:00
39,4,Windy,Moderate,2022-04-09 22:27:00
40,9,Clear,Moderate,2023-02-22 23:23:00
41,6,Rainy,Moderate,2022-06-30 03:01:00
42,7,Foggy,Moderate,2022-08-18 21:36:00
43,8,Snowy,Moderate,2022-12-23 08:21:00
44,15,Snowy,Heavy,2022-10-19 12:35:00
45,8,Rainy,Light,2023-11-05 15:48:00
46,14,Clear,Heavy,2022-12-26 14:04:00
47,11,Clear,Moderate,2023-11-03 03:31:00
48,12,Snowy,Light,2024-11-07 10:23:00
49,5,Clear,Light,2024-09-10 03:17:00
50,13,Snowy,Light,2022-09-02 13:57:00
51,3,Snowy,Moderate,2024-05-13 20:16:00
52,4,Rainy,Heavy,2024-05-01 02:51:00
53,3,Snowy,Heavy,2024-09-03 13:12:00
54,9,Rainy,Light,2024-07-14 11:47:00
55,15,Rainy,Moderate,2024-05-14 11:41:00
56,14,Windy,Light,2024-11-08 14:32:00
57,9,Foggy,Heavy,2022-09-22 14:47:00
58,3,Windy,Heavy,2023-05-27 02:47:00
59,2,Snowy,Moderate,2023-08-26 20:54:00
60,14,Foggy,Light,2021-12-26 02:14:00
61,5,Snowy,Moderate,2024-08-11 02:15:00
62,4,Clear,Light,2023-05-21 08:31:00
63,4,Snowy,Moderate,2024-05-29 22:09:00
64,12,Clear,Light,2024-08-03 11:44:00
65,14,Foggy,Light,2024-06-05 04:15:00
66,5,Windy,Light,2024-03-13 20:13:00
67,10,Rainy,Heavy,2023-06-01 19:08:00
68,13,Windy,Heavy,2023-12-24 00:55:00
69,5,Snowy,Moderate,2023-09-07 12:43:00
70,14,Windy,Heavy,2024-10-19 01:43:00
71,13,Windy,Light,2022-01-26 04:41:00
72,15,Snowy,Moderate,2022-09-12 14:59:00
73,15,Rainy,Light,2022-03-26 02:53:00
74,15,Snowy,Heavy,2023-11-12 15:00:00
75,4,Clear,Light,2024-04-20 03:18:00
76,11,Rainy,Light,2022-05-29 02:55:00
77,6,Foggy,Heavy,2024-11-13 10:43:00
78,13,Clear,Heavy,2024-07-01 13:14:00
79,7,Clear,Heavy,2024-08-28 12:52:00
80,8,Foggy,Moderate,2022-05-27 04:22:00
81,15,Rainy,Moderate,2022-04-02 07:47:00
82,5,Windy,Heavy,2024-11-02 16:45:00
83,11,Snowy,Moderate,2023-04-04 12:54:00
84,1,Foggy,Moderate,2023-04-19 23:16:00
85,7,Windy,Light,2024-03-02 19:08:00
86,2,Windy,Heavy,2024-05-28 14:26:00
87,12,Clear,Heavy,2024-08-14 20:08:00
88,13,Clear,Light,2022-12-04 09:31:00
89,7,Snowy,Light,2022-01-28 15:41:00
90,6,Foggy,Heavy,2024-07-30 14:34:00
91,1,Clear,Light,2023-07-14 10:14:00
92,5,Clear,Light,2022-03-26 19:37:00
93,2,Foggy,Heavy,2022-05-12 15:02:00
94,11,Foggy,Moderate,2022-11-28 13:23:00
95,5,Clear,Light,2022-12-26 17:13:00
96,10,Rainy,Light,2022-02-02 18:58:00
97,2,Snowy,Light,2022-02-15 17:56:00
98,10,Foggy,Light,2022-02-15 04:20:00
99,9,Foggy,Moderate,2023-03-31 19:15:00
100,8,Windy,Heavy,2022-11-17 21:14:00
101,12,Windy,Moderate,2022-03-10 19:39:00
102,8,Windy,Light,2022-11-19 11:39:00
103,3,Windy,Moderate,2023-09-27 07:40:00
104,8,Rainy,Light,2023-01-14 22:06:00
105,6,Foggy,Heavy,2022-05-16 05:25:00
106,3,Windy,Moderate,2024-04-09 21:55:00
107,1,Rainy,Moderate,2023-05-11 08:20:00
108,10,Windy,Heavy,2022-06-18 03:01:00
109,11,Clear,Moderate,2023-03-21 15:09:00
110,12,Foggy,Moderate,2024-05-30 03:18:00
111,9,Snowy,Moderate,2023-12-03 13:40:00
112,9,Clear,Light,2022-03-21 13:00:00
113,14,Windy,Light,2024-08-21 20:49:00
114,10,Clear,Moderate,2024-08-25 05:39:00
115,2,Snowy,Moderate,2022-05-24 02:13:00
116,7,Snowy,Moderate,2024-11-16 00:08:00
117,15,Windy,Heavy,2024-07-18 11:51:00
118,13,Foggy,Light,2022-02-07 04:06:00
119,1,Windy,Light,2022-12-10 22:10:00
120,1,Rainy,Heavy,2024-04-05 20:21:00
121,1,Snowy,Light,2024-12-13 10:00:00
122,15,Rainy,Heavy,2024-12-15 02:53:00
123,14,Snowy,Moderate,2022-10-29 21:10:00
124,14,Windy,Heavy,2023-01-17 23:18:00
125,14,Clear,Moderate,2022-09-13 02:57:00
126,2,Foggy,Moderate,2024-06-10 19:30:00
127,7,Windy,Moderate,2022-08-07 14:01:00
128,15,Clear,Moderate,2023-01-25 06:21:00
129,7,Foggy,Heavy,2024-03-27 21:29:00
130,11,Rainy,Moderate,2022-04-04 06:34:00
131,2,Rainy,Heavy,2022-06-22 22:26:00
132,15,Foggy,Light,2024-01-21 17:24:00
133,10,Snowy,Moderate,2023-01-03 06:21:00
134,7,Clear,Light,2024-08-12 15:33:00
135,2,Clear,Light,2023-01-02 18:44:00
136,9,Windy,Light,2024-08-19 23:37:00
137,6,Rainy,Light,2023-02-25 18:45:00
138,15,Foggy,Heavy,2023-12-02 09:40:00
139,2,Windy,Heavy,2023-09-07 14:31:00
140,9,Snowy,Light,2024-11-27 12:22:00
141,15,Clear,Light,2023-12-06 14:20:00
142,1,Clear,Moderate,2023-10-17 22:06:00
143,11,Foggy,Light,2022-08-22 15:50:00
144,13,Foggy,Moderate,2024-09-10 11:54:00
145,2,Windy,Heavy,2022-01-17 21:46:00
146,5,Snowy,Moderate,2022-03-02 08:26:00
147,5,Foggy,Moderate,2024-01-01 09:23:00
148,8,Clear,Light,2024-03-29 17:20:00
149,12,Windy,Heavy,2021-12-27 05:18:00
150,4,Snowy,Moderate,2024-08-23 20:07:00
151,10,Rainy,Heavy,2024-05-15 05:04:00
152,12,Windy,Light,2024-12-03 18:32:00
153,10,Clear,Moderate,2024-09-16 08:18:00
154,15,Clear,Light,2024-02-19 11:15:00
155,11,Snowy,Heavy,2022-01-13 05:21:00
156,11,Snowy,Light,2024-07-29 08:07:00
157,4,Rainy,Heavy,2024-03-07 08:18:00
158,11,Foggy,Moderate,2022-12-23 11:36:00
159,12,Clear,Heavy,2024-04-24 05:50:00
160,5,Snowy,Moderate,2022-02-03 16:51:00
161,12,Clear,Light,2023-09-10 01:15:00
162,10,Windy,Light,2023-02-25 15:36:00
163,5,Rainy,Light,2024-03-30 10:19:00
164,4,Clear,Heavy,2022-03-15 14:44:00
165,10,Foggy,Light,2022-05-19 03:10:00
166,12,Clear,Moderate,2023-05-03 05:20:00
167,7,Clear,Heavy,2023-09-03 11:51:00
168,10,Foggy,Moderate,2022-09-03 20:04:00
169,5,Rainy,Heavy,2022-03-31 10:28:00
170,15,Rainy,Moderate,2023-08-12 07:40:00
171,1,Foggy,Heavy,2023-07-30 22:24:00
172,13,Clear,Light,2024-01-03 18:07:00
173,6,Clear,Moderate,2022-04-05 23:28:00
174,3,Clear,Moderate,2023-08-01 12:06:00
175,3,Foggy,Light,2022-08-09 12:18:00
176,4,Clear,Light,2022-04-28 06:23:00
177,15,Snowy,Light,2022-07-03 20:44:00
178,2,Clear,Light,2024-07-07 18:28:00
179,6,Windy,Moderate,2024-07-30 18:09:00
180,6,Rainy,Heavy,2023-05-30 21:48:00
181,15,Clear,Heavy,2022-11-06 02:35:00
182,11,Snowy,Moderate,2022-06-07 20:21:00
183,4,Rainy,Light,2023-05-18 09:17:00
184,4,Windy,Heavy,2022-07-12 00:21:00
185,6,Rainy,Light,2024-06-26 17:13:00
186,11,Clear,Light,2023-11-16 22:12:00
187,8,Windy,Heavy,2023-07-12 11:45:00
188,7,Rainy,Moderate,2024-06-14 08:59:00
189,7,Foggy,Moderate,2024-03-01 04:22:00
190,1,Snowy,Heavy,2023-06-25 12:30:00
191,1,Rainy,Heavy,2022-09-15 12:16:00
192,15,Rainy,Moderate,2024-08-10 08:25:00
193,10,Snowy,Moderate,2023-01-23 00:59:00
194,10,Clear,Heavy,2022-06-08 14:25:00
195,13,Windy,Heavy,2024-01-10 19:26:00
196,10,Clear,Light,2024-08-16 02:05:00
197,10,Rainy,Heavy,2024-10-10 23:18:00
198,9,Foggy,Heavy,2022-11-06 22:30:00
199,11,Foggy,Moderate,2024-08-09 21:58:00
200,9,Clear,Light,2022-11-13 17:21:00
201,2,Foggy,Heavy,2022-09-30 20:41:00
202,8,Rainy,Heavy,2023-07-03 00:00:00
203,2,Rainy,Light,2022-11-22 03:12:00
204,8,Clear,Light,2024-02-07 22:34:00
205,11,Rainy,Moderate,2024-06-09 03:49:00
206,4,Foggy,Light,2022-03-12 04:30:00
207,13,Clear,Light,2022-12-11 02:05:00
208,10,Foggy,Moderate,2024-05-23 00:56:00
209,11,Foggy,Heavy,2023-04-06 19:09:00
210,14,Rainy,Heavy,2023-09-15 19:16:00
211,14,Windy,Moderate,2022-06-23 15:45:00
212,6,Windy,Light,2023-02-07 13:12:00
213,15,Foggy,Moderate,2023-07-27 18:32:00
214,4,Foggy,Moderate,2023-10-20 06:29:00
215,7,Windy,Heavy,2024-04-20 20:30:00
216,8,Snowy,Light,2023-08-12 19:50:00
217,7,Windy,Moderate,2023-02-12 01:16:00
218,5,Windy,Moderate,2024-04-07 01:52:00
219,10,Snowy,Heavy,2022-05-16 00:22:00
220,15,Foggy,Heavy,2023-07-02 08:28:00
221,12,Snowy,Light,2024-10-25 15:53:00
222,9,Clear,Moderate,2023-07-29 09:55:00
223,3,Rainy,Moderate,2023-07-25 09:42:00
224,3,Snowy,Heavy,2022-05-21 07:04:00
225,7,Windy,Heavy,2022-05-13 12:03:00
226,10,Foggy,Moderate,2023-09-05 03:59:00
227,13,Windy,Light,2022-08-25 16:46:00
228,11,Snowy,Light,2022-08-23 05:03:00
229,7,Clear,Moderate,2024-01-11 10:34:00
230,7,Clear,Light,2021-12-28 21:12:00
231,11,Clear,Heavy,2023-03-07 10:00:00
232,5,Windy,Light,2022-06-25 10:34:00
233,7,Foggy,Moderate,2022-10-01 17:00:00
234,14,Snowy,Heavy,2024-01-06 14:19:00
235,12,Foggy,Moderate,2022-09-09 01:03:00
236,15,Rainy,Moderate,2022-11-09 13:40:00
237,6,Foggy,Moderate,2024-04-20 09:43:00
238,5,Rainy,Light,2023-01-16 19:34:00
239,7,Windy,Moderate,2022-10-14 19:06:00
240,10,Snowy,Moderate,2022-05-17 09:15:00
241,11,Snowy,Heavy,2023-02-06 15:50:00
242,10,Windy,Light,2023-02-28 04:01:00
243,8,Windy,Moderate,2022-10-03 08:04:00
244,10,Windy,Light,2023-12-05 13:29:00
245,8,Windy,Heavy,2023-06-22 12:16:00
246,10,Snowy,Moderate,2024-12-01 16:56:00
247,4,Rainy,Light,2022-02-01 09:58:00
248,9,Clear,Light,2024-09-13 00:35:00
249,12,Clear,Moderate,2022-07-22 14:16:00
250,2,Windy,Heavy,2024-05-13 03:12:00
251,4,Foggy,Heavy,2022-04-11 23:52:00
252,5,Windy,Heavy,2022-09-19 03:39:00
253,15,Foggy,Moderate,2022-05-03 20:03:00
254,2,Rainy,Heavy,2022-12-15 19:13:00
255,7,Windy,Moderate,2024-05-16 03:59:00
256,11,Windy,Light,2024-11-10 15:32:00
257,6,Snowy,Heavy,2022-04-11 07:44:00
258,2,Windy,Moderate,2024-01-13 22:40:00
259,13,Windy,Moderate,2022-05-18 04:55:00
260,9,Rainy,Heavy,2023-08-16 01:11:00
261,14,Clear,Moderate,2023-06-21 15:41:00
262,10,Foggy,Moderate,2023-10-13 07:00:00
263,2,Foggy,Light,2024-07-29 06:44:00
264,8,Windy,Moderate,2024-01-15 11:04:00
265,3,Rainy,Moderate,2023-05-26 13:49:00
266,9,Windy,Light,2023-08-05 18:03:00
267,3,Foggy,Moderate,2024-10-20 10:56:00
268,2,Clear,Heavy,2023-01-27 07:37:00
269,5,Clear,Light,2022-10-13 05:31:00
270,7,Windy,Heavy,2022-01-24 04:25:00
271,4,Clear,Heavy,2022-05-12 17:35:00
272,1,Clear,Heavy,2024-04-22 18:13:00
273,4,Clear,Heavy,2024-12-14 02:27:00
274,3,Clear,Light,2024-04-13 08:22:00
275,7,Rainy,Light,2022-03-14 01:09:00
276,8,Rainy,Light,2023-06-17 22:42:00
277,8,Clear,Light,2024-03-13 17:02:00
278,5,Snowy,Light,2024-09-29 02:02:00
279,15,Foggy,Moderate,2022-04-14 08:42:00
280,12,Rainy,Light,2023-12-11 10:47:00
281,13,Clear,Heavy,2022-10-12 10:42:00
282,3,Clear,Light,2024-04-18 15:21:00
283,15,Rainy,Moderate,2024-03-20 07:26:00
284,2,Rainy,Light,2022-01-01 07:46:00
285,9,Foggy,Light,2023-05-01 02:34:00
286,1,Snowy,Heavy,2023-09-08 21:10:00
287,5,Clear,Light,2023-03-30 19:23:00
288,2,Windy,Light,2022-07-21 17:59:00
289,6,Clear,Moderate,2022-04-15 10:51:00
290,7,Rainy,Moderate,2022-05-12 20:51:00
291,8,Rainy,Light,2024-01-07 00:34:00
292,12,Foggy,Moderate,2023-01-31 01:30:00
293,2,Clear,Heavy,2024-03-15 09:21:00
294,4,Rainy,Light,2024-03-23 14:54:00
295,15,Rainy,Moderate,2024-06-19 21:02:00
296,8,Rainy,Light,2022-01-14 15:58:00
297,14,Windy,Light,2023-11-11 15:54:00
298,14,Foggy,Moderate,2024-07-02 00:58:00
299,2,Windy,Light,2022-10-08 14:58:00
300,10,Foggy,Light,2022-09-19 05:12:00
301,8,Snowy,Heavy,2022-03-01 22:00:00
302,6,Rainy,Light,2022-04-15 14:20:00
303,2,Windy,Light,2024-06-05 04:44:00
304,5,Windy,Light,2023-07-21 19:58:00
305,2,Windy,Heavy,2023-06-16 10:26:00
306,10,Snowy,Moderate,2022-12-06 11:13:00
307,11,Foggy,Heavy,2023-05-18 01:17:00
308,6,Clear,Moderate,2023-01-09 21:15:00
309,11,Clear,Heavy,2023-12-28 17:12:00
310,5,Snowy,Light,2023-12-20 16:24:00
311,5,Rainy,Light,2023-09-02 22:19:00
312,3,Rainy,Moderate,2022-11-26 18:50:00
313,6,Clear,Light,2024-08-29 23:10:00
314,7,Rainy,Light,2024-04-21 10:26:00
315,5,Rainy,Moderate,2024-09-22 08:15:00
316,9,Windy,Heavy,2024-04-23 21:40:00
317,9,Clear,Moderate,2024-07-18 20:08:00
318,12,Foggy,Heavy,2024-12-14 13:13:00
319,4,Clear,Moderate,2022-07-29 01:22:00
320,11,Windy,Moderate,2024-06-22 01:50:00
321,9,Clear,Moderate,2023-08-15 05:07:00
322,13,Clear,Light,2022-08-01 08:21:00
323,5,Snowy,Moderate,2022-02-07 04:15:00
324,12,Rainy,Light,2024-08-13 07:22:00
325,9,Clear,Heavy,2023-11-19 20:49:00
326,2,Rainy,Light,2024-05-08 04:29:00
327,12,Windy,Heavy,2024-03-11 18:18:00
328,9,Windy,Light,2022-08-30 09:20:00
329,8,Rainy,Moderate,2024-05-16 14:11:00
330,15,Clear,Light,2023-01-02 01:38:00
331,1,Windy,Moderate,2024-11-15 21:43:00
332,4,Snowy,Heavy,2022-03-11 09:49:00
333,1,Snowy,Light,2022-12-04 07:10:00
334,6,Windy,Light,2024-04-11 18:26:00
335,3,Clear,Light,2023-12-17 15:01:00
336,15,Clear,Light,2024-06-27 07:45:00
337,15,Clear,Heavy,2022-04-22 17:29:00
338,4,Snowy,Heavy,2024-11-11 19:46:00
339,12,Windy,Light,2024-10-12 15:38:00
340,2,Foggy,Light,2022-11-19 09:28:00
341,5,Foggy,Light,2024-11-23 01:59:00
342,1,Rainy,Heavy,2024-02-24 02:08:00
343,13,Windy,Light,2023-12-20 03:00:00
344,13,Windy,Moderate,2022-01-17 00:38:00
345,14,Clear,Moderate,2023-04-15 14:27:00
346,11,Foggy,Heavy,2022-03-11 07:46:00
347,1,Windy,Moderate,2022-08-20 06:45:00
348,6,Snowy,Light,2024-11-01 05:19:00
349,10,Foggy,Heavy,2022-08-10 18:37:00
350,6,Foggy,Light,2023-10-26 05:14:00
351,8,Windy,Moderate,2022-12-26 16:52:00
352,6,Foggy,Moderate,2022-10-21 23:34:00
353,4,Windy,Moderate,2024-02-19 00:21:00
354,9,Snowy,Moderate,2022-07-15 18:00:00
355,6,Windy,Moderate,2022-01-05 10:52:00
356,3,Foggy,Heavy,2023-12-24 21:30:00
357,3,Windy,Moderate,2022-09-08 22:03:00
358,1,Foggy,Light,2024-01-15 17:35:00
359,14,Rainy,Heavy,2024-07-24 02:34:00
360,5,Clear,Light,2022-01-26 15:46:00
361,8,Foggy,Moderate,2024-11-09 12:59:00
362,10,Foggy,Light,2023-08-06 11:48:00
363,1,Snowy,Moderate,2023-06-15 03:29:00
364,12,Foggy,Heavy,2023-09-17 07:32:00
365,15,Rainy,Moderate,2023-10-24 17:10:00
366,9,Foggy,Heavy,2024-03-24 01:31:00
367,1,Foggy,Light,2024-04-06 01:07:00
368,14,Snowy,Moderate,2022-07-19 15:19:00
369,3,Snowy,Light,2024-08-15 17:26:00
370,11,Foggy,Heavy,2022-01-04 21:39:00
371,14,Foggy,Light,2024-10-26 10:20:00
372,6,Windy,Heavy,2024-05-13 21:03:00
373,8,Rainy,Heavy,2024-09-01 04:50:00
374,2,Windy,Light,2022-01-27 15:27:00
375,9,Clear,Heavy,2023-03-25 21:47:00
376,11,Snowy,Light,2023-05-05 18:08:00
377,3,Windy,Light,2022-03-20 07:19:00
378,6,Rainy,Moderate,2023-03-08 09:10:00
379,9,Windy,Light,2023-10-17 22:00:00
380,11,Snowy,Moderate,2024-05-15 20:37:00
381,11,Snowy,Heavy,2024-09-22 20:56:00
382,12,Foggy,Moderate,2023-05-09 10:10:00
383,8,Windy,Light,2023-07-01 21:55:00
384,2,Snowy,Moderate,2022-11-28 04:41:00
385,9,Foggy,Heavy,2022-05-21 06:41:00
386,11,Windy,Light,2023-07-11 06:01:00
387,9,Rainy,Moderate,2024-09-01 20:04:00
388,2,Foggy,Moderate,2024-05-25 01:12:00
389,5,Clear,Light,2023-02-22 05:28:00
390,5,Windy,Moderate,2023-07-09 20:04:00
391,4,Clear,Heavy,2022-03-09 05:47:00
392,12,Windy,Moderate,2024-04-05 18:55:00
393,13,Windy,Moderate,2023-10-02 17:36:00
394,8,Clear,Light,2024-08-18 21:30:00
395,6,Windy,Light,2023-10-07 07:40:00
396,5,Foggy,Light,2024-08-28 08:07:00
397,1,Foggy,Heavy,2022-06-01 15:19:00
398,13,Rainy,Heavy,2022-08-07 16:50:00
399,13,Snowy,Moderate,2024-05-26 12:35:00
400,12,Snowy,Heavy,2024-02-07 21:03:00
401,10,Windy,Moderate,2022-08-17 18:18:00
402,4,Foggy,Light,2024-02-07 12:02:00
403,1,Snowy,Light,2024-06-26 21:03:00
404,2,Clear,Moderate,2024-06-05 19:36:00
405,2,Snowy,Heavy,2023-06-14 07:29:00
406,3,Snowy,Moderate,2023-08-06 09:02:00
407,13,Windy,Light,2022-02-18 23:06:00
408,1,Windy,Heavy,2022-07-30 10:04:00
409,9,Snowy,Light,2023-08-15 23:09:00
410,4,Foggy,Light,2022-06-07 04:12:00
411,6,Rainy,Light,2024-05-14 16:44:00
412,12,Clear,Light,2021-12-28 03:00:00
413,7,Rainy,Moderate,2024-04-24 11:44:00
414,6,Windy,Heavy,2022-02-24 19:45:00
415,11,Foggy,Moderate,2022-07-14 00:48:00
416,10,Clear,Light,2023-10-30 10:52:00
417,5,Snowy,Light,2023-05-22 19:19:00
418,3,Rainy,Moderate,2023-01-09 19:01:00
419,14,Snowy,Light,2023-04-13 08:02:00
420,3,Clear,Light,2024-05-07 06:04:00
421,4,Foggy,Moderate,2023-06-03 05:49:00
422,15,Snowy,Light,2024-02-18 16:09:00
423,12,Rainy,Moderate,2024-08-05 01:43:00
424,3,Foggy,Light,2024-09-02 04:52:00
425,1,Clear,Heavy,2024-10-20 20:48:00
